,"Poster_Link","Series_Title","Runtime_of_Series","Certificate","Runtime_of_Episodes","Genre","IMDB_Rating","Overview","Star1","Star2","Star3","Star4","No_of_Votes","Genre1","Genre2","Genre3"	
36,"https://m.media-amazon.com/images/M/MV5BODkzMjhjYTQtYmQyOS00NmZlLTg3Y2UtYjkzN2JkNmRjY2FhXkEyXkFqcGdeQXVyNTM4MDQ5MDc@._V1_UY98_CR0,0,67,98_AL_.jpg","Death Note: Desu nÃ´to","(2006â€“2007)","16+","24 min","Animation, Crime, Drama",9,"An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.","Mamoru Miyano","Brad Swaile","Vincent Tong","RyÃ´ NaitÃ´",239363,"Animation"," Crime"," Drama"	
37,"https://m.media-amazon.com/images/M/MV5BNzY1YjIxOGMtOTAyZC00YTcyLWFhMzQtZTJkYTljYzU0MGRlXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_UX67_CR0,0,67,98_AL_.jpg","Lucifer","(2016â€“ )","15","42 min","Crime, Drama, Fantasy",8.1,"Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.","Tom Ellis","Lauren German","Kevin Alejandro","D.B. Woodside",233488,"Crime"," Drama"," Fantasy"	
38,"https://m.media-amazon.com/images/M/MV5BMjI3ODU0OTQ1MV5BMl5BanBnXkFtZTgwNzI0MTQ2MzE@._V1_UX67_CR0,0,67,98_AL_.jpg","Heroes","(II) (2006â€“2010)","16","45 min","Drama, Fantasy, Sci-Fi",7.5,"Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.","Jack Coleman","Hayden Panettiere","Milo Ventimiglia","Masi Oka",229260,"Drama"," Fantasy"," Sci-Fi"	
39,"https://m.media-amazon.com/images/M/MV5BMDVjZDQ2N2MtMzMxYy00ZjliLTg5YjAtNjk1OTUwYjVjNWQ0XkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX67_CR0,0,67,98_AL_.jpg","True Blood","(2008â€“2014)","18","55 min","Drama, Fantasy, Mystery",7.8,"Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire.","Anna Paquin","Stephen Moyer","Sam Trammell","Ryan Kwanten",229129,"Drama"," Fantasy"," Mystery"	
40,"https://m.media-amazon.com/images/M/MV5BNWU5YmJhNWEtZGVlOS00NmRhLThmNzUtYjAyMDA2MDg5ZTM4XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY98_CR1,0,67,98_AL_.jpg","Hannibal","(2013â€“2015)","A","44 min","Crime, Drama, Horror",8.5,"Explores the early relationship between renowned psychiatrist, Hannibal Lecter, and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers.","Hugh Dancy","Mads Mikkelsen","Caroline Dhavernas","Laurence Fishburne",228558,"Crime"," Drama"," Horror"	
41,"https://m.media-amazon.com/images/M/MV5BZTEwZTM3MzUtMzk3Yy00YWI4LWI1ZTktOTc1MmRjZWM5ZDhmXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX67_CR0,0,67,98_AL_.jpg","Spartacus: Blood and Sand","(2010â€“2013)","16+","55 min","Action, Adventure, Biography",8.5,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Andy Whitfield","Lucy Lawless","Manu Bennett","Daniel Feuerriegel",223612,"Action"," Adventure"," Biography"	
42,"https://m.media-amazon.com/images/M/MV5BMjE2NTA2OTA2Nl5BMl5BanBnXkFtZTcwODM0NDM1Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg","Fringe","(2008â€“2013)","16","46 min","Drama, Mystery, Sci-Fi",8.4,"An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena.","Anna Torv","Joshua Jackson","John Noble","Jasika Nicole",220496,"Drama"," Mystery"," Sci-Fi"	
43,"https://m.media-amazon.com/images/M/MV5BNWNmYzQ1ZWUtYTQ3ZS00Y2UwLTlkMDctZThlOTJkMGJiNzBiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg","Mindhunter","(2017â€“2019)","16+","60 min","Crime, Drama, Thriller",8.6,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Jonathan Groff","Holt McCallany","Anna Torv","Hannah Gross",218006,"Crime"," Drama"," Thriller"	
44,"https://m.media-amazon.com/images/M/MV5BNjRiYTIzZmUtMTFkNS00ZTM0LWE4ODAtMDliMGE4NzM5ZjVlXkEyXkFqcGdeQXVyNDQ0MTYzMDA@._V1_UY98_CR6,0,67,98_AL_.jpg","The 100","(2014â€“2020)","A","43 min","Drama, Mystery, Sci-Fi",7.6,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","Eliza Taylor","Bob Morley","Marie Avgeropoulos","Isaiah Washington",216968,"Drama"," Mystery"," Sci-Fi"	
45,"https://m.media-amazon.com/images/M/MV5BNzA2ZDk2ZTUtMWU2Yi00NDVmLTk1ODEtMmFmMjQyNWYzODI0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg","Futurama","(1999â€“2013)","7","22 min","Animation, Comedy, Sci-Fi",8.4,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","Billy West","John DiMaggio","Katey Sagal","Tress MacNeille",213193,"Animation"," Comedy"," Sci-Fi"	
